Product Category,Quantity,Unit Price,Total Price,Order Date,Payment Type,Order Status
Beauty & Health,5,91.95179922,459.7589961,2023-11-13,Gift Card,Cancelled
Beauty & Health,2,490.5613688,981.1227376,2023-12-11,Gift Card,Refunded
Electronics,5,77.67796792,388.3898396,2023-01-06,Debit Card,Pending
Clothing,3,246.8371747,740.5115241,2023-08-29,Credit Card,Refunded
Books,4,394.4774073,1577.909629,2023-05-31,Gift Card,Pending
Beauty & Health,2,430.47137,860.94274,2023-09-12,PayPal,Completed
Electronics,1,88.83488435,88.83488435,2023-05-13,Credit Card,Pending
Sports & Outdoors,2,24.24198587,48.48397174,2023-12-07,Debit Card,Refunded
Beauty & Health,5,494.8557756,2474.278878,2023-12-28,PayPal,Refunded
Sports & Outdoors,4,178.2460128,712.9840514,2023-02-05,Gift Card,Completed
Books,3,377.9652957,1133.895887,2023-07-23,Credit Card,Pending
Beauty & Health,5,187.4364344,937.182172,2023-03-30,Gift Card,Completed
Electronics,2,100.8740816,201.7481632,2023-11-21,Gift Card,Pending
Books,5,93.35144344,466.7572172,2023-07-20,Gift Card,Completed
Beauty & Health,3,420.0278443,1260.083533,2023-12-28,PayPal,Completed
Sports & Outdoors,1,422.0622029,422.0622029,2023-07-11,PayPal,Pending
Clothing,4,360.3266589,1441.306636,2023-12-23,Gift Card,Cancelled
Home & Kitchen,5,14.17693055,70.88465273,2023-10-28,Gift Card,Pending
Electronics,2,279.0905442,558.1810883,2023-01-15,Gift Card,Pending
Books,1,47.80020097,47.80020097,2023-03-27,Debit Card,Completed
Sports & Outdoors,4,270.7739399,1083.09576,2023-07-05,Debit Card,Pending
Beauty & Health,5,203.4855626,1017.427813,2023-01-31,Credit Card,Completed
Clothing,1,280.2299924,280.2299924,2023-03-26,Debit Card,Refunded
Electronics,2,91.27167179,182.5433436,2023-03-23,Gift Card,Pending
Home & Kitchen,1,64.48928648,64.48928648,2023-12-05,Credit Card,Completed
Books,2,109.0430137,218.0860275,2023-03-10,Credit Card,Completed
Books,2,157.5465042,315.0930083,2023-02-04,Credit Card,Pending
Sports & Outdoors,3,183.1849639,549.5548917,2023-10-30,Gift Card,Refunded
Electronics,2,414.5729602,829.1459203,2023-01-07,Gift Card,Completed
Beauty & Health,1,492.7917834,492.7917834,2023-03-09,Debit Card,Pending
Home & Kitchen,2,332.7327581,665.4655163,2023-02-17,Debit Card,Cancelled
Clothing,3,437.7337643,1313.201293,2023-02-13,Credit Card,Refunded
Clothing,1,451.3300434,451.3300434,2023-05-17,PayPal,Refunded
Books,3,434.8254455,1304.476336,2023-03-21,PayPal,Cancelled
Beauty & Health,1,295.1852927,295.1852927,2023-09-03,PayPal,Cancelled
Clothing,1,51.73072082,51.73072082,2023-01-27,Debit Card,Pending
Home & Kitchen,1,352.8801653,352.8801653,2023-09-10,Gift Card,Cancelled
Books,1,154.4926153,154.4926153,2023-07-06,Credit Card,Pending
Sports & Outdoors,3,401.8738284,1205.621485,2023-04-16,Debit Card,Completed
Clothing,3,338.4137776,1015.241333,2023-11-26,PayPal,Completed
Electronics,4,222.5436472,890.1745888,2023-05-18,PayPal,Completed
Electronics,3,330.9866602,992.9599805,2023-03-14,PayPal,Pending
Clothing,4,50.96506137,203.8602455,2023-06-12,Debit Card,Refunded
Beauty & Health,1,210.6628252,210.6628252,2023-02-19,Gift Card,Completed
Clothing,4,259.0120861,1036.048345,2023-04-04,PayPal,Refunded
Sports & Outdoors,2,263.9917237,527.9834473,2023-11-09,Gift Card,Pending
Books,3,419.3067056,1257.920117,2023-04-30,PayPal,Completed
Sports & Outdoors,2,419.3933943,838.7867887,2023-05-28,PayPal,Cancelled
Sports & Outdoors,1,447.9971482,447.9971482,2023-07-27,Debit Card,Completed
Electronics,3,244.4767103,733.4301308,2023-04-17,Gift Card,Refunded
Electronics,2,449.1384489,898.2768978,2023-03-09,Gift Card,Pending
Home & Kitchen,1,33.3768342,33.3768342,2023-12-16,Debit Card,Cancelled
Books,2,139.9225018,279.8450037,2023-02-21,Debit Card,Cancelled
Sports & Outdoors,4,172.5632953,690.2531814,2023-06-27,Gift Card,Cancelled
Books,5,193.1017304,965.508652,2023-03-11,Credit Card,Completed
Sports & Outdoors,4,386.0534127,1544.213651,2023-05-20,Gift Card,Completed
Sports & Outdoors,2,305.649044,611.2980879,2023-01-26,Debit Card,Completed
Clothing,1,145.0139278,145.0139278,2023-08-01,Gift Card,Cancelled
Sports & Outdoors,2,26.21502043,52.43004086,2023-01-06,Gift Card,Pending
Clothing,4,322.2123996,1288.849598,2023-07-15,Gift Card,Pending
Sports & Outdoors,4,119.6593289,478.6373155,2023-02-01,Debit Card,Cancelled
Sports & Outdoors,5,309.4247225,1547.123612,2023-09-26,Gift Card,Completed
Books,1,216.1543195,216.1543195,2023-08-31,PayPal,Completed
Books,1,426.7091342,426.7091342,2023-02-12,Debit Card,Refunded
Books,1,393.735313,393.735313,2023-12-23,Gift Card,Completed
Sports & Outdoors,5,231.6237273,1158.118636,2023-12-10,Debit Card,Refunded
Electronics,3,349.1255787,1047.376736,2023-05-07,Debit Card,Refunded
Sports & Outdoors,5,171.3769298,856.8846489,2023-08-12,Gift Card,Cancelled
Clothing,3,429.6454379,1288.936314,2023-11-01,Debit Card,Completed
Sports & Outdoors,2,487.8809738,975.7619476,2023-11-17,PayPal,Refunded
Books,5,269.6098083,1348.049041,2023-11-20,Debit Card,Pending
Electronics,1,164.8535696,164.8535696,2023-08-12,Gift Card,Cancelled
Clothing,2,431.8708666,863.7417331,2023-09-10,Debit Card,Cancelled
Beauty & Health,1,105.4097169,105.4097169,2023-11-23,Gift Card,Cancelled
Sports & Outdoors,3,446.559856,1339.679568,2023-12-03,PayPal,Pending
Home & Kitchen,1,402.5306115,402.5306115,2023-04-15,Debit Card,Completed
Books,2,193.144028,386.288056,2023-06-09,Credit Card,Pending
Electronics,5,387.5062269,1937.531135,2023-01-22,Credit Card,Cancelled
Home & Kitchen,1,104.7865174,104.7865174,2023-06-26,Debit Card,Refunded
Sports & Outdoors,4,20.41711165,81.66844661,2023-10-14,PayPal,Refunded
Beauty & Health,3,218.3810243,655.1430729,2023-08-21,Gift Card,Pending
Clothing,1,188.8320225,188.8320225,2023-10-14,PayPal,Completed
Sports & Outdoors,2,16.48101182,32.96202364,2023-03-15,PayPal,Completed
Sports & Outdoors,5,479.5879717,2397.939859,2023-08-28,Gift Card,Pending
Books,5,434.1710022,2170.855011,2023-04-03,Credit Card,Pending
Electronics,1,93.80272407,93.80272407,2023-10-05,Gift Card,Completed
Electronics,3,190.2605882,570.7817645,2023-09-03,Debit Card,Refunded
Sports & Outdoors,4,63.21606829,252.8642732,2023-08-02,Credit Card,Cancelled
Sports & Outdoors,3,64.40407566,193.212227,2023-11-22,Gift Card,Refunded
Clothing,3,410.8508168,1232.55245,2023-04-22,Credit Card,Refunded
Electronics,1,117.7210296,117.7210296,2023-07-16,Gift Card,Cancelled
Sports & Outdoors,5,244.8052405,1224.026203,2023-07-08,PayPal,Pending
Beauty & Health,5,436.6831426,2183.415713,2023-11-06,Debit Card,Cancelled
Clothing,2,485.8064924,971.6129848,2023-03-05,Credit Card,Pending
Sports & Outdoors,4,144.6777985,578.7111941,2023-08-17,Gift Card,Pending
Home & Kitchen,4,93.89689232,375.5875693,2023-01-14,PayPal,Cancelled
Home & Kitchen,3,499.322499,1497.967497,2023-05-21,Credit Card,Completed
Clothing,1,313.0416094,313.0416094,2023-08-17,PayPal,Cancelled
Home & Kitchen,1,48.04034731,48.04034731,2023-05-07,PayPal,Refunded
Sports & Outdoors,2,282.7704215,565.540843,2023-05-12,Gift Card,Pending
Beauty & Health,3,185.6015527,556.8046581,2023-07-09,PayPal,Completed
Home & Kitchen,1,102.5469404,102.5469404,2023-04-28,PayPal,Completed
Electronics,1,336.828869,336.828869,2023-03-23,Debit Card,Refunded
Electronics,4,461.1823868,1844.729547,2023-12-29,Credit Card,Completed
Electronics,4,193.3136015,773.2544061,2023-06-10,PayPal,Completed
Clothing,4,372.5235609,1490.094243,2023-04-21,Gift Card,Completed
Books,4,224.2955794,897.1823176,2023-01-13,Debit Card,Pending
Home & Kitchen,4,286.8950717,1147.580287,2023-08-13,PayPal,Cancelled
Electronics,1,362.7918928,362.7918928,2023-01-09,Debit Card,Cancelled
Electronics,3,459.1524451,1377.457335,2023-10-16,PayPal,Cancelled
Sports & Outdoors,2,320.8249905,641.6499809,2023-05-12,Credit Card,Completed
Clothing,1,182.5042483,182.5042483,2023-12-20,Gift Card,Cancelled
Home & Kitchen,1,212.9828849,212.9828849,2023-08-27,Credit Card,Cancelled
Clothing,5,247.8374102,1239.187051,2023-09-11,PayPal,Cancelled
Beauty & Health,5,15.991236,79.95618,2023-04-28,Credit Card,Cancelled
Sports & Outdoors,3,419.6434926,1258.930478,2023-02-15,PayPal,Completed
Electronics,4,238.52768,954.1107199,2023-09-10,Debit Card,Pending
Clothing,2,261.6461805,523.292361,2023-07-07,PayPal,Completed
Clothing,4,139.3802964,557.5211858,2023-05-16,Debit Card,Pending
Clothing,5,89.4369534,447.184767,2023-12-18,PayPal,Completed
Clothing,4,319.2406035,1276.962414,2023-12-17,Credit Card,Pending
Sports & Outdoors,5,91.73058067,458.6529033,2023-11-17,Debit Card,Cancelled
Books,3,84.45692368,253.370771,2023-06-11,Debit Card,Cancelled
Electronics,5,498.8899643,2494.449821,2023-09-14,Gift Card,Completed
Books,4,338.4893485,1353.957394,2023-02-14,Gift Card,Completed
Beauty & Health,5,313.5929258,1567.964629,2023-01-24,Debit Card,Pending
Beauty & Health,1,121.5411727,121.5411727,2023-03-23,Debit Card,Pending
Sports & Outdoors,5,413.1942738,2065.971369,2023-12-22,Debit Card,Pending
Books,5,16.63189173,83.15945866,2023-11-06,Credit Card,Completed
Sports & Outdoors,1,41.75100934,41.75100934,2023-07-27,Gift Card,Completed
Beauty & Health,5,292.9426303,1464.713152,2023-05-13,Gift Card,Cancelled
Beauty & Health,2,201.7757297,403.5514594,2023-08-12,PayPal,Pending
Clothing,5,60.17103335,300.8551667,2023-11-25,Credit Card,Completed
Sports & Outdoors,5,345.5450229,1727.725114,2023-07-07,Credit Card,Refunded
Sports & Outdoors,4,444.9124323,1779.649729,2023-04-17,PayPal,Cancelled
Beauty & Health,4,102.5512974,410.2051896,2023-11-06,Debit Card,Cancelled
Books,2,441.78273,883.56546,2023-01-19,Debit Card,Refunded
Clothing,2,219.1447302,438.2894605,2023-09-30,PayPal,Cancelled
Sports & Outdoors,4,104.5774,418.3095998,2023-07-24,Credit Card,Completed
Electronics,3,95.83962342,287.5188703,2023-01-03,Credit Card,Pending
Electronics,4,467.1253904,1868.501562,2023-05-19,PayPal,Completed
Electronics,5,481.5178311,2407.589155,2023-02-25,Credit Card,Pending
Sports & Outdoors,3,154.7068334,464.1205001,2023-02-14,Credit Card,Pending
Books,3,121.7229144,365.1687431,2023-04-16,Debit Card,Pending
Clothing,3,358.924705,1076.774115,2023-01-07,Credit Card,Pending
Books,5,184.8323101,924.1615505,2023-07-14,Debit Card,Refunded
Sports & Outdoors,5,238.4387061,1192.19353,2023-12-17,Credit Card,Completed
Sports & Outdoors,2,114.5172053,229.0344105,2023-11-07,Debit Card,Pending
Electronics,2,77.52583852,155.051677,2023-08-07,Gift Card,Refunded
Clothing,3,241.1381244,723.4143732,2023-07-09,Credit Card,Completed
Books,4,63.69133869,254.7653547,2023-11-18,PayPal,Refunded
Electronics,4,131.690004,526.7600161,2023-02-14,Gift Card,Pending
Sports & Outdoors,1,310.5105412,310.5105412,2023-11-19,PayPal,Pending
Clothing,2,180.203657,360.4073141,2023-09-07,Credit Card,Cancelled
Electronics,3,368.9550238,1106.865071,2023-12-09,PayPal,Cancelled
Home & Kitchen,2,260.5989113,521.1978227,2023-08-17,Gift Card,Cancelled
Electronics,4,411.2833516,1645.133406,2023-06-08,Credit Card,Cancelled
Books,4,78.34728709,313.3891484,2023-07-03,Gift Card,Completed
Home & Kitchen,3,465.9084453,1397.725336,2023-02-16,Credit Card,Refunded
Books,1,295.3442481,295.3442481,2023-01-31,Gift Card,Pending
Clothing,3,199.5725992,598.7177977,2023-02-25,Debit Card,Refunded
Beauty & Health,4,448.1644381,1792.657752,2023-04-17,PayPal,Cancelled
Home & Kitchen,3,384.6189176,1153.856753,2023-07-14,Gift Card,Cancelled
Sports & Outdoors,1,108.5300882,108.5300882,2023-04-05,Gift Card,Completed
Books,3,414.0927788,1242.278336,2023-10-05,Gift Card,Refunded
Sports & Outdoors,2,56.71040283,113.4208057,2023-06-23,Debit Card,Cancelled
Clothing,5,118.4121891,592.0609454,2023-12-17,Gift Card,Completed
Electronics,4,214.9112228,859.6448913,2023-05-01,Credit Card,Refunded
Electronics,1,142.954217,142.954217,2023-05-01,Gift Card,Cancelled
Home & Kitchen,1,67.84332506,67.84332506,2023-11-14,Gift Card,Pending
Home & Kitchen,4,369.7215433,1478.886173,2023-11-02,Debit Card,Pending
Beauty & Health,1,217.5509742,217.5509742,2023-09-15,PayPal,Cancelled
Books,4,75.75995761,303.0398304,2023-10-15,Credit Card,Pending
Electronics,4,86.61083889,346.4433556,2023-06-09,PayPal,Pending
Books,4,477.9539347,1911.815739,2023-12-20,Debit Card,Refunded
Beauty & Health,4,22.21935813,88.87743253,2023-03-19,Debit Card,Refunded
Sports & Outdoors,3,88.50967502,265.5290251,2023-08-12,PayPal,Pending
Electronics,5,267.2504072,1336.252036,2023-07-02,PayPal,Refunded
Books,5,489.9776376,2449.888188,2023-09-28,PayPal,Completed
Home & Kitchen,5,300.8913924,1504.456962,2023-04-16,PayPal,Pending
Books,1,162.6420226,162.6420226,2023-10-13,Gift Card,Cancelled
Sports & Outdoors,3,398.6181307,1195.854392,2023-02-24,Credit Card,Refunded
Books,1,271.9673606,271.9673606,2023-08-14,Debit Card,Refunded
Sports & Outdoors,2,153.8989723,307.7979446,2023-03-05,Credit Card,Cancelled
Books,2,211.8174288,423.6348577,2023-06-17,Debit Card,Completed
Electronics,5,284.7668116,1423.834058,2023-04-15,PayPal,Pending
Home & Kitchen,1,315.531399,315.531399,2023-08-03,Credit Card,Cancelled
Books,1,455.5259563,455.5259563,2023-06-13,Credit Card,Pending
Sports & Outdoors,4,414.1518559,1656.607424,2023-12-06,PayPal,Completed
Home & Kitchen,2,455.3303647,910.6607294,2023-03-07,Gift Card,Pending
Electronics,3,343.3319308,1029.995792,2023-03-01,Credit Card,Completed
Home & Kitchen,4,137.391703,549.5668119,2023-06-22,Debit Card,Cancelled
Sports & Outdoors,3,105.6479769,316.9439306,2023-12-21,Debit Card,Refunded
Sports & Outdoors,2,231.6345621,463.2691243,2023-11-02,Gift Card,Refunded
Clothing,2,210.6721429,421.3442858,2023-04-02,Debit Card,Cancelled
Electronics,3,323.5368709,970.6106127,2023-12-21,Gift Card,Pending
Sports & Outdoors,4,225.8246359,903.2985435,2023-02-03,PayPal,Refunded
Clothing,2,201.0484096,402.0968192,2023-01-10,Debit Card,Cancelled
Books,2,469.5069089,939.0138179,2023-07-17,Gift Card,Pending
Clothing,5,466.1904035,2330.952018,2023-08-30,Credit Card,Completed
Electronics,3,68.74003229,206.2200969,2023-11-04,Debit Card,Completed
Home & Kitchen,5,34.69701361,173.4850681,2023-09-06,Debit Card,Cancelled
Electronics,2,202.8730293,405.7460585,2023-03-04,Debit Card,Cancelled
Electronics,5,482.6551878,2413.275939,2023-07-11,Gift Card,Refunded
Clothing,2,192.5579536,385.1159071,2023-03-03,Credit Card,Completed
Home & Kitchen,1,356.050301,356.050301,2023-03-15,Debit Card,Completed
Home & Kitchen,2,352.7498127,705.4996254,2023-09-15,Debit Card,Completed
Clothing,5,33.97523293,169.8761646,2023-10-25,Credit Card,Pending
Clothing,2,447.0681338,894.1362676,2023-01-28,PayPal,Cancelled
Home & Kitchen,3,279.7026033,839.1078098,2023-03-06,PayPal,Pending
Sports & Outdoors,1,306.2495712,306.2495712,2023-01-22,Debit Card,Cancelled
Books,4,414.8149607,1659.259843,2023-03-13,Gift Card,Refunded
Home & Kitchen,5,289.8818076,1449.409038,2023-11-20,PayPal,Cancelled
Home & Kitchen,3,278.6612683,835.9838048,2023-08-24,Debit Card,Pending
Books,2,87.11450897,174.2290179,2023-09-05,PayPal,Refunded
Beauty & Health,5,71.09306635,355.4653317,2023-12-30,PayPal,Completed
Beauty & Health,3,383.4363291,1150.308987,2023-05-13,Credit Card,Cancelled
Books,4,461.9315792,1847.726317,2023-06-03,Credit Card,Cancelled
Electronics,5,472.7737461,2363.86873,2023-12-16,Gift Card,Refunded
Clothing,5,65.18596895,325.9298448,2023-08-10,PayPal,Refunded
Books,2,129.8513984,259.7027967,2023-03-19,Gift Card,Refunded
Electronics,4,282.1524472,1128.609789,2023-11-22,Credit Card,Completed
Electronics,4,361.2742831,1445.097132,2023-01-20,Debit Card,Pending
Home & Kitchen,3,279.4991464,838.4974391,2023-10-30,Gift Card,Pending
Electronics,2,121.4137546,242.8275092,2023-04-28,Debit Card,Refunded
Clothing,5,129.1448077,645.7240383,2023-10-03,PayPal,Completed
Sports & Outdoors,1,136.161937,136.161937,2023-08-22,Credit Card,Pending
Sports & Outdoors,2,303.9646106,607.9292213,2023-07-10,Gift Card,Completed
Books,1,364.2992194,364.2992194,2023-04-01,Debit Card,Refunded
Clothing,5,166.0353302,830.1766511,2023-12-24,Credit Card,Completed
Home & Kitchen,1,37.06193881,37.06193881,2023-11-18,Credit Card,Pending
Home & Kitchen,4,16.03476349,64.13905395,2023-08-09,Credit Card,Cancelled
Sports & Outdoors,1,267.2122607,267.2122607,2023-10-25,Credit Card,Completed
Sports & Outdoors,4,428.8498384,1715.399353,2023-10-14,PayPal,Pending
Home & Kitchen,1,130.0367641,130.0367641,2023-07-20,Debit Card,Pending
Electronics,4,44.67064438,178.6825775,2023-08-18,Debit Card,Refunded
Home & Kitchen,4,400.2004685,1600.801874,2023-05-25,Credit Card,Cancelled
Sports & Outdoors,4,74.69952142,298.7980857,2023-06-11,Credit Card,Cancelled
Books,4,332.8205164,1331.282066,2023-10-01,PayPal,Cancelled
Home & Kitchen,3,92.49346658,277.4803998,2023-10-17,PayPal,Cancelled
Electronics,1,242.5662629,242.5662629,2023-11-14,Gift Card,Refunded
Beauty & Health,5,461.7707098,2308.853549,2023-02-01,PayPal,Completed
Electronics,5,213.2194576,1066.097288,2023-07-23,PayPal,Refunded
Beauty & Health,1,45.89131756,45.89131756,2023-05-11,Gift Card,Completed
Clothing,2,288.5375714,577.0751429,2023-11-30,Credit Card,Refunded
Clothing,3,170.1235106,510.3705317,2023-03-14,PayPal,Pending
Home & Kitchen,1,354.5237082,354.5237082,2023-10-22,PayPal,Completed
Books,3,59.79315444,179.3794633,2023-05-06,Debit Card,Completed
Books,3,219.3231852,657.9695557,2023-10-14,Credit Card,Refunded
Beauty & Health,3,411.1061244,1233.318373,2023-06-21,Debit Card,Pending
Beauty & Health,3,68.93001692,206.7900508,2023-12-24,PayPal,Refunded
Books,1,217.1425088,217.1425088,2023-01-31,Credit Card,Cancelled
Books,1,424.1774449,424.1774449,2023-02-02,Gift Card,Cancelled
Sports & Outdoors,3,322.1425116,966.4275348,2023-05-23,PayPal,Cancelled
Sports & Outdoors,3,69.11713181,207.3513954,2023-04-10,Debit Card,Refunded
Electronics,3,339.1575761,1017.472728,2023-11-17,Debit Card,Refunded
Sports & Outdoors,2,428.8347751,857.6695503,2023-10-28,Debit Card,Refunded
Books,1,275.3560528,275.3560528,2023-12-30,Debit Card,Refunded
Home & Kitchen,3,25.27234953,75.81704859,2023-05-01,Debit Card,Completed
Sports & Outdoors,2,247.6280792,495.2561585,2023-06-03,Credit Card,Refunded
Home & Kitchen,5,261.0328687,1305.164344,2023-12-10,Debit Card,Pending
Clothing,5,292.0307342,1460.153671,2023-08-21,Credit Card,Completed
Electronics,2,307.6060094,615.2120189,2023-02-14,Gift Card,Completed
Clothing,4,242.1245903,968.4983614,2023-03-25,Credit Card,Pending
Clothing,5,414.1844835,2070.922417,2023-12-11,PayPal,Completed
Books,1,177.5121881,177.5121881,2023-08-05,PayPal,Completed
Books,3,351.41655,1054.24965,2023-12-29,PayPal,Pending
Electronics,3,41.38827533,124.164826,2023-09-23,Gift Card,Completed
Books,5,153.302446,766.5122302,2023-07-17,Gift Card,Pending
Books,3,355.2613059,1065.783918,2023-12-25,Gift Card,Refunded
Books,1,447.6995858,447.6995858,2023-06-23,Debit Card,Refunded
Electronics,4,375.538838,1502.155352,2023-06-15,PayPal,Refunded
Clothing,5,22.3415275,111.7076375,2023-07-23,Credit Card,Completed
Electronics,1,492.3051584,492.3051584,2023-08-07,Debit Card,Completed
Beauty & Health,4,233.4988016,933.9952064,2023-03-31,PayPal,Pending
Electronics,2,53.9221051,107.8442102,2023-09-23,Credit Card,Pending
Beauty & Health,1,217.90045,217.90045,2023-02-14,Gift Card,Completed
Books,2,343.9807036,687.9614071,2023-04-08,Gift Card,Refunded
Home & Kitchen,2,279.9868671,559.9737341,2023-09-18,Credit Card,Refunded
Books,2,296.1616111,592.3232223,2023-07-16,Gift Card,Cancelled
Books,2,354.8255425,709.651085,2023-11-18,Debit Card,Completed
Books,3,455.9958751,1367.987625,2023-09-27,Gift Card,Refunded
Beauty & Health,5,340.9123019,1704.561509,2023-01-18,Gift Card,Pending
Sports & Outdoors,3,157.375075,472.1252249,2023-12-28,Debit Card,Cancelled
Home & Kitchen,2,429.0144237,858.0288475,2023-08-08,PayPal,Refunded
Beauty & Health,3,443.0136487,1329.040946,2023-12-21,Debit Card,Pending
Home & Kitchen,3,399.5878613,1198.763584,2023-06-05,PayPal,Cancelled
Clothing,1,288.5788354,288.5788354,2023-07-03,Debit Card,Refunded
Sports & Outdoors,3,18.81043812,56.43131435,2023-04-19,Gift Card,Pending
Books,3,487.6148918,1462.844675,2023-06-14,Gift Card,Completed
Clothing,1,234.8219294,234.8219294,2023-11-20,PayPal,Cancelled
Home & Kitchen,5,299.8962681,1499.48134,2023-09-14,PayPal,Completed
Electronics,3,450.5488174,1351.646452,2023-04-26,PayPal,Pending
Electronics,5,160.1224617,800.6123084,2023-12-21,PayPal,Refunded
Beauty & Health,5,480.6159949,2403.079974,2023-12-26,Debit Card,Refunded
Books,2,154.0721192,308.1442384,2023-04-25,Gift Card,Cancelled
Sports & Outdoors,3,392.2851771,1176.855531,2023-05-30,Gift Card,Cancelled
Electronics,4,161.3384525,645.35381,2023-07-03,Credit Card,Pending
Sports & Outdoors,2,101.6905061,203.3810121,2023-02-10,Credit Card,Cancelled
Electronics,5,74.32632598,371.6316299,2023-08-11,Credit Card,Refunded
Sports & Outdoors,4,184.0578047,736.2312187,2023-03-31,Gift Card,Pending
Books,5,118.9017116,594.5085578,2023-07-08,Gift Card,Refunded
Beauty & Health,3,123.6848208,371.0544623,2023-12-13,PayPal,Refunded
Beauty & Health,3,180.4861367,541.45841,2023-04-01,Gift Card,Refunded
Books,4,297.8042906,1191.217162,2023-10-15,Credit Card,Pending
Books,3,495.8819706,1487.645912,2023-04-07,PayPal,Pending
Books,5,224.6828729,1123.414364,2023-11-16,Debit Card,Completed
Sports & Outdoors,2,309.3940386,618.7880771,2023-07-27,Gift Card,Pending
Electronics,4,121.1307977,484.5231908,2023-10-29,Debit Card,Refunded
Sports & Outdoors,1,44.50599633,44.50599633,2023-01-10,PayPal,Completed
Sports & Outdoors,1,139.5950456,139.5950456,2023-02-24,Debit Card,Completed
Clothing,1,92.12627484,92.12627484,2023-06-18,Credit Card,Pending
Books,4,459.9125,1839.65,2023-04-17,Credit Card,Cancelled
Electronics,3,72.16963121,216.5088936,2023-04-29,PayPal,Completed
Sports & Outdoors,3,277.3428572,832.0285716,2023-01-30,PayPal,Pending
Books,4,168.2285922,672.9143688,2023-10-09,Gift Card,Cancelled
Home & Kitchen,2,449.2981409,898.5962817,2023-03-11,PayPal,Pending
Books,1,452.1212579,452.1212579,2023-04-19,PayPal,Refunded
Home & Kitchen,5,439.8878712,2199.439356,2023-04-21,Gift Card,Completed
Electronics,1,350.3609245,350.3609245,2023-12-16,Gift Card,Refunded
Books,3,381.5154385,1144.546316,2023-09-28,PayPal,Cancelled
Home & Kitchen,2,249.0637543,498.1275085,2023-05-25,Credit Card,Cancelled
Clothing,5,266.4983422,1332.491711,2023-04-27,PayPal,Refunded
Home & Kitchen,3,116.9522815,350.8568445,2023-07-27,Gift Card,Pending
Sports & Outdoors,5,158.3841505,791.9207527,2023-11-17,PayPal,Cancelled
Beauty & Health,4,101.7123397,406.8493588,2023-06-05,Gift Card,Cancelled
Electronics,5,309.2771595,1546.385798,2023-05-22,Debit Card,Pending
Electronics,5,387.7384176,1938.692088,2023-09-28,Debit Card,Cancelled
Electronics,5,302.5015506,1512.507753,2023-03-04,Gift Card,Pending
Sports & Outdoors,4,134.6203676,538.4814702,2023-06-29,Debit Card,Refunded
Home & Kitchen,2,408.9997317,817.9994634,2023-03-21,Credit Card,Cancelled
Clothing,4,314.507703,1258.030812,2023-09-09,Gift Card,Pending
Beauty & Health,1,112.5764249,112.5764249,2023-01-11,Gift Card,Pending
Home & Kitchen,5,144.7976408,723.9882042,2023-06-23,PayPal,Pending
Books,1,320.3363065,320.3363065,2023-05-22,PayPal,Cancelled
Beauty & Health,3,198.5870989,595.7612968,2023-06-09,Gift Card,Refunded
